	title	subscriberCount	category
1	BLACKPINK	5530만	음악
2	Big Hit Labels	4980만	음악
3	BANGTANTV	4300만	음악
4	SMTOWN	2580만	음악
5	1MILLION Dance Studio	2290만	엔터테인먼트
6	1theK (원더케이)	2160만	엔터테인먼트
7	JYP Entertainment	1970만	음악
8	Mnet K-POP	1680만	엔터테인먼트
9	JFlaMusic	1670만	음악
10	KBS World	1530만	엔터테인먼트
11	officialpsy	1450만	음악
12	Boram Tube ToysReview [보람튜브 토이리뷰]	1390만	"키즈, Vlog/일상"
13	Live	1330만	기타
14	BIGBANG	1310만	음악
15	Jane ASMR 제인	1110만	푸드/먹방
16	Nao FunFun	1100만	엔터테인먼트
17	TWICE	957만	음악
18	DuDuPopTOY	948만	엔터테인먼트
19	Stone Music Entertainment	935만	음악
20	MBCkpop	896만	음악
21	핑크퐁 (인기 동요?동화)	883만	"키즈, 교육, 엔터테인먼트"
22	Larva TUBA	864만	영화/애니
23	Toymong tv 토이몽TV	834만	"키즈, 엔터테인먼트"
24	서은이야기[SeoeunStory]	821만	"키즈, 엔터테인먼트"
25	MBCentertainment	794만	엔터테인먼트
26	Mnet Official	791만	엔터테인먼트
27	iKON	756만	음악
28	MariAndKids	714만	"엔터테인먼트, 영화/애니, ASMR"
29	Hongyu ASMR 홍유	707만	푸드/먹방
30	Boram Tube [??和朋友?]	706만	"키즈, 영화/애니"
31	EXO	688만	음악
32	SonicToy소닉토이	687만	"키즈, 엔터테인먼트"
33	M2	665만	엔터테인먼트
34	Sungha Jung	655만	음악
35	JTBC Entertainment	632만	엔터테인먼트
36	ALL THE K-POP	609만	엔터테인먼트
37	SEVENTEEN	605만	음악
38	YG ENTERTAINMENT	591만	음악
39	PONY Syndrome	579만	"뷰티, Vlog/일상"
40	TOMORROW X TOGETHER OFFICIAL	571만	음악
41	KBS Kpop	570만	음악
42	GOT7	568만	엔터테인먼트
43	PinkyPopTOY	561만	"엔터테인먼트, 키즈"
44	스브스케이팝 / SBS KPOP	524만	"엔터테인먼트, 키즈"
45	MAMAMOO	521만	"Vlog/일상, 음악"
46	Samsung	518만	IT/과학기술
47	Stray Kids	517만	Vlog/일상
48	[햄지]Hamzy	515만	ASMR
49	SBS Entertainment	512만	엔터테인먼트
50	콩순이?시크릿 쥬쥬 [Kongsuni?Secret Jouju]	512만	"키즈, 영화/애니"
51	2NE1	510만	음악
52	이지금 [IU Official]	500만	엔터테인먼트
53	[Awesome Haeun]어썸하은	499만	음악
54	tvN DRAMA	494만	엔터테인먼트
55	쏘영 Ssoyoung	493만	ASMR
56	문복희 Eat with Boki	490만	푸드/먹방
57	GONGSAM TABLE 이공삼	484만	ASMR
58	SBS Drama	482만	엔터테인먼트
59	스위트티비 SweetTV	481만	"키즈, 엔터테인먼트"
60	백종원의 요리비책 Paik's Cuisine	470만	"푸드/먹방, 엔터테인먼트, Vlog/일상"
61	starshipTV	457만	음악
62	베이비버스 -인기 동요?동화	455만	"키즈, 교육"
63	미니특공대TV	450만	"키즈, 영화/애니"
64	[장난감티비]TOYTV	441만	"키즈, 엔터테인먼트"
65	Xbox	434만	게임
66	떵개떵	426만	푸드/먹방
67	ITZY	418만	엔터테인먼트
68	KBS Entertain	415만	엔터테인먼트
69	뽀로로(Pororo)	410만	"키즈, 교육"
70	BT21	408만	영화/애니
71	[Dorothy]도로시	407만	엔터테인먼트
72	MBCdrama	406만	엔터테인먼트
73	TOY GUMA	404만	"엔터테인먼트, 키즈"
74	하루한끼 one meal a day	404만	푸드/먹방
75	Raon Lee	402만	음악
76	설기양SULGI	397만	푸드/먹방
77	Jaeguchi	396만	음악
78	Evan Kids	396만	"키즈, 교육"
79	SBS NOW / SBS 공식 채널	393만	엔터테인먼트
80	영국남자 Korean Englishman	390만	"FUN, 푸드/먹방"
81	크림히어로즈	385만	펫/동물
82	워크맨-Workman	378만	엔터테인먼트
83	Cooking tree 쿠킹트리	376만	푸드/먹방
84	허팝Heopop	376만	엔터테인먼트
85	JTBC Drama	375만	엔터테인먼트
86	waveya 2011	372만	엔터테인먼트
87	까니짱 [ G-NI ]	368만	푸드/먹방
88	SBS TV동물농장x애니멀봐	367만	펫/동물
89	채널 NCT DAILY	363만	Vlog/일상
90	Red Velvet	362만	음악
91	Milana FamilyShow [EN]	354만	"엔터테인먼트, 키즈"
92	Lime Tube[라임튜브]	352만	"엔터테인먼트, 키즈, 게임"
93	로미유 스토리[Romiyu Story]	351만	"엔터테인먼트, 키즈"
94	WINNER	351만	음악
95	JaeYeol ASMR 재열	335만	푸드/먹방
96	Boram y Juguetes	334만	"엔터테인먼트, 키즈"
97	푸메Fume	330만	엔터테인먼트
98	EBS 키즈	326만	"키즈, 영화/애니"
99	KBS Drama	325만	엔터테인먼트
100	Romiyu Vlog로미유 브이로그	322만	"키즈, Vlog/일상, 푸드/먹방"
